co_ref,total_interactions,interactions_14_days,pre_renewal_interactions,last_moment_engagement_ratio,complaints,negative_experience,support_issues,financial_stress,price_dissatisfaction,avg_sentiment_x,avg_sentiment_y,avg_sentiment,agent_followups,engagement_score
AB0061,16,0,4,0.0,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailYesYesYesYesNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,No_EmailNo_EmailNo_EmailNo_EmailNot DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,0.0,0.0
AB0551,4,0,4,0.0,NoNoNoNo,NoNoNoNo,NoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,0.0,0.0
AB0646,12,0,4,0.0,NoNoNoNoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNoNoNoNo,NoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNo,NoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,12.0,0.0
AB1212,3,1,1,0.25,NoNoNo,Not DiscussedNoNot Discussed,Not DiscussedNoNot Discussed,Not DiscussedNot DiscussedNot Discussed,Not DiscussedNoNot Discussed,50.0,50.0,50.0,1.0,0.0
AB2056,6,0,0,0.0,NoNoNoNoNoNo,NoNoNoNoNoNo,NoNoNoNoNoNo,NoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNoNoNo,65.0,65.0,65.0,24.0,0.0
AB2658,8,0,4,0.0,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,YesYesYesYesNoNoNoNo,70.0,70.0,70.0,12.0,0.0
AB2997,9,0,3,0.0,NoNoNoNoNoNoNoNoNo,YesYesYesNoNoNoNoNoNo,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,YesYesYesYesYesYesNot DiscussedNot DiscussedNot Discussed,YesYesYesNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,65.0,65.0,65.0,18.0,0.0
AB4616,3,1,1,0.25,YesYesNo,YesYesYes,YesYesNo,YesNoYes,Not DiscussedNoYes,0.0,0.0,0.0,0.0,0.0
AB4992,16,4,0,0.23529411764705882,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoYesYesYesYesNoNoNoNo,50.0,50.0,50.0,0.0,0.0
AB5411,12,4,4,0.3076923076923077,NoNoNoNoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,4.0,0.0
AB5642,12,4,4,0.3076923076923077,NoNoNoNoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,0.0,0.0,0.0,0.0,0.0
AB6721,6,0,0,0.0,NoNoNoNoNoNo,NoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,12.0,0.0
AB6880,6,3,0,0.42857142857142855,NoNoNoNoNoNo,YesYesYesNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,3.0,0.0
AB6930,4,1,1,0.2,NoNoNoNo,NoNoNoNot Discussed,NoNoNoNot Discussed,NoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,1.0,0.0
AB7963,12,4,0,0.3076923076923077,NoNoNoNoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,63.333333333333336,63.333333333333336,63.333333333333336,8.0,0.0
AB8043,4,2,0,0.4,YesYesNoNo,YesYesNoNo,Not DiscussedNot DiscussedNoNo,Not DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot Discussed,35.0,35.0,35.0,2.0,0.0
AB8719,18,6,3,0.3157894736842105,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailYesYesYesNoNoNoNot DiscussedNot DiscussedNot DiscussedNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailYesYesYesNoNoNoNot DiscussedNot DiscussedNot DiscussedNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNo,50.0,50.0,50.0,3.0,0.0
AB9483,9,3,0,0.3,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,9.0,0.0
AB9577,6,3,0,0.42857142857142855,YesYesYesNoNoNo,YesYesYesNot DiscussedNot DiscussedNot Discussed,YesYesYesNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,YesYesYesNot DiscussedNot DiscussedNot Discussed,40.0,40.0,40.0,6.0,0.0
AB9837,24,8,0,0.32,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailYesYesYesYesNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailYesYesYesYesNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailYesYesYesYesNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,66.66666666666667,66.66666666666667,66.66666666666667,0.0,0.0
AC0174,9,0,3,0.0,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot Discussed,YesYesYesNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,9.0,0.0
AC0421,9,3,0,0.3,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,6.0,0.0
AC1804,8,2,2,0.2222222222222222,NoNoNoNoNoNoNoNo,YesYesNoNoNoNoNot DiscussedNot Discussed,Not DiscussedNot DiscussedNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,YesYesNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,YesYesNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,0.0,0.0
AC2155,6,2,2,0.2857142857142857,NoNoNoNoNoNo,NoNoNoNoNot DiscussedNot Discussed,NoNoNoNoNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNoNoNot DiscussedNot Discussed,90.0,90.0,90.0,2.0,0.0
AC2776,9,0,3,0.0,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNo,YesYesYesNot DiscussedNot DiscussedNot DiscussedYesYesYes,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNo,50.0,50.0,50.0,12.0,0.0
AC3520,16,4,4,0.23529411764705882,NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedYesYesYesYesNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,65.0,65.0,65.0,0.0,0.0
AC3946,6,2,0,0.2857142857142857,NoNoNoNoNoNo,YesYesYesYesNot DiscussedNot Discussed,NoNoYesYesNot DiscussedNot Discussed,YesYesYesYesNot DiscussedNot Discussed,YesYesYesYesNot DiscussedNot Discussed,40.0,40.0,40.0,8.0,0.0
AC4408,9,3,0,0.3,NoNoNoNoNoNoNoNoNo,YesYesYesNoNoNoNoNoNo,YesYesYesNoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot Discussed,63.333333333333336,63.333333333333336,63.333333333333336,21.0,0.0
AC4484,9,3,0,0.3,NoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,6.0,0.0
AC5010,3,1,0,0.25,NoNoNo,NoNoNo,NoNoNo,NoNoNo,NoNoNo,0.0,0.0,0.0,0.0,0.0
AC5613,4,0,0,0.0,YesYesNoNo,YesYesNoNo,YesYesNot DiscussedNot Discussed,YesYesNot DiscussedNot Discussed,YesYesNot DiscussedNot Discussed,20.0,20.0,20.0,2.0,0.0
AC5722,20,4,4,0.19047619047619047,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailYesYesYesYesNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailYesYesYesYesNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,8.0,0.0
AC5972,4,1,1,0.2,YesNoNoNo,YesNoNot DiscussedNot Discussed,NoNoNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNoNot DiscussedNot Discussed,20.0,20.0,20.0,1.0,0.0
AC6856,8,2,2,0.2222222222222222,NoNoNoNoNoNoNoNo,YesYesNot DiscussedNot DiscussedNoNoNoNo,YesYesNot DiscussedNot DiscussedNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNoNo,YesYesNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,10.0,0.0
AC7013,9,3,0,0.3,YesYesYesNoNoNoNoNoNo,YesYesYesNot DiscussedNot DiscussedNot DiscussedNoNoNo,YesYesYesNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,3.0,0.0
AC7113,9,0,3,0.0,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,60.0,60.0,60.0,3.0,0.0
AC7352,9,3,0,0.3,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,6.0,0.0
AC7436,9,3,0,0.3,NoNoNoNoNoNoNoNoNo,NoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,YesYesYesNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,YesYesYesNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,65.0,65.0,65.0,6.0,0.0
AC8349,9,3,0,0.3,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNo,Not DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,12.0,0.0
AC9302,2,1,0,0.3333333333333333,NoNo,NoNo,NoNo,Not DiscussedNot Discussed,Not DiscussedNot Discussed,100.0,100.0,100.0,0.0,0.0
AC9742,8,4,0,0.4444444444444444,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,0.0,0.0
AD0243,8,0,4,0.0,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,8.0,0.0
AD0458,9,3,0,0.3,NoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,18.0,0.0
AD0668,16,4,4,0.23529411764705882,NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,36.0,0.0
AD1356,8,4,0,0.4444444444444444,NoNoNoNoNoNoNoNo,YesYesYesYesNoNoNoNo,NoNoNoNoNoNoNoNo,YesYesYesYesNot DiscussedNot DiscussedNot DiscussedNot Discussed,YesYesYesYesYesYesYesYes,65.0,65.0,65.0,4.0,0.0
AD1830,6,2,0,0.2857142857142857,NoNoNoNoNoNo,NoNoNot DiscussedNot DiscussedNoNo,NoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,NoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,65.0,65.0,65.0,6.0,0.0
AD2140,6,2,0,0.2857142857142857,NoNoNoNoNoNo,NoNoNoNoNoNo,NoNoNoNoNot DiscussedNot Discussed,NoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNot DiscussedNot Discussed,60.0,60.0,60.0,6.0,0.0
AD2371,6,0,0,0.0,NoNoNoNoNoNo,NoNoNoNoNoNo,NoNoNoNoNoNo,NoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNoNo,50.0,50.0,50.0,9.0,0.0
AD3246,8,4,0,0.4444444444444444,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,65.0,65.0,65.0,0.0,0.0
AD3672,8,4,0,0.4444444444444444,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNo,65.0,65.0,65.0,16.0,0.0
